food_name,calories,protein,fat,carbohydrate,sugar
Chinese Saucy Paratha,513,25,21,56,6
Indian Gravy Roll,344,25,4,52,8
Chinese Classic Noodles,405,19,21,35,7
Indian Cheese Paneer Dish,293,15,5,47,8
Italian Cheese Pizza,369,15,13,48,7
Indian Crispy Cutlet,255,22,7,26,6
Italian Garlic Grill,267,11,3,49,0
Chinese Tandoori Veg Mix,239,10,7,34,4
Chinese Home Style Cutlet,267,19,11,23,3
FastFood Deluxe Tikka,515,21,23,56,3
Italian Butter Salad,248,3,16,23,8
Italian Herb Grill,363,13,23,26,4
Indian Chilli Cutlet,335,9,11,50,7
Chinese Butter Stew,376,22,12,45,3
Chinese Chilli Salad,211,4,11,24,4
Indian Extra Cheese Fries,312,18,16,24,8
Italian Tandoori Dosa,379,20,11,50,0
Italian Cheese Grill,217,4,1,48,1
Italian Home Style Cutlet,354,18,6,57,3
FastFood Butter Noodles,333,6,21,30,0
Indian Tandoori Salad,153,3,5,24,8
Chinese Cheese Dosa,291,18,3,48,2
Italian Tandoori Kebab,440,16,24,40,5
FastFood Saucy Manchurian,187,4,3,36,8
FastFood Special Rice Special,448,14,20,53,7
Indian Spicy Pasta,291,11,11,37,3
Italian Butter Uttapam,301,25,1,48,4
Chinese Saucy Tikka,234,13,2,41,2
Italian Butter Curry,468,9,24,54,6
Chinese Herb Soup,475,21,19,55,5
FastFood Masaledar Chicken Dish,287,15,11,32,3
Indian Classic Roll,481,17,21,56,4
Indian Cheese Uttapam,410,24,14,47,7
FastFood Cheese Burger,393,9,17,51,0
Italian Herb Paratha,437,20,21,42,0
Indian Crispy Salad,319,25,7,39,6
FastFood Street Style Biryani,331,17,3,59,1
Indian Home Style Burger,433,20,17,50,4
Italian Loaded Uttapam,360,12,16,42,4
Chinese Street Style Cutlet,333,15,21,21,3
FastFood Spicy Curry,425,10,25,40,4
Chinese Classic Burger,368,13,12,52,7
Italian Masaledar Fries,355,10,15,45,0
Italian Dry Tikka,347,23,15,30,4
Chinese Home Style Soup,293,20,13,24,5
FastFood Butter Salad,426,21,18,45,6
Indian Classic Soup,391,8,23,38,8
Italian Tandoori Grill,212,5,12,21,2
FastFood Chilli Noodles,479,10,23,58,4
Italian Herb Manchurian,416,6,24,44,3
Chinese Dry Paratha,225,15,5,30,8
FastFood Roasted Grill,259,20,3,38,6
Indian Special Noodles,229,9,5,37,4
FastFood Chilli Kebab,289,3,5,58,3
Indian Masaledar Sandwich,395,24,7,59,1
FastFood Street Style Curry,301,5,9,50,3
Italian Garlic Cutlet,340,7,20,33,8
FastFood Spicy Sandwich,141,4,5,20,0
Indian Deluxe Kebab,403,18,19,40,1
Indian Dry Fries,316,15,8,46,5
FastFood Saucy Grill,295,8,15,32,5
Indian Saucy Rice Special,312,9,20,24,6
Indian Gravy Chicken Dish,259,7,3,51,5
Indian Herb Paratha,414,20,22,34,0
Italian Herb Pizza,213,10,5,32,8
FastFood Loaded Fried Rice,313,15,17,25,5
Italian Herb Sandwich,241,11,1,47,0
FastFood Spicy Uttapam,397,21,13,49,3
Chinese Gravy Curry,379,20,23,23,2
FastFood Tandoori Soup,327,7,11,50,0
Chinese Garlic Masala,385,8,13,59,1
Indian Roasted Dosa,368,9,16,47,5
Chinese Crispy Biryani,381,21,21,27,2
Italian Garlic Stew,357,11,13,49,7
Chinese Chilli Curry,331,16,15,33,0
Chinese Butter Veg Mix,284,11,16,24,1
Italian Tandoori Uttapam,222,8,2,43,1
Chinese Gravy Stew,371,13,23,28,8
Chinese Home Style Chicken Dish,467,23,23,42,1
Indian Butter Tikka,262,11,10,32,3
FastFood Cheese Paratha,287,5,19,24,0
Chinese Cheese Veg Mix,486,22,18,59,6
Italian Saucy Mutton Dish,410,19,18,43,8
FastFood Roasted Soup,271,16,11,27,1
Italian Cheese Kebab,398,18,18,41,1
FastFood Deluxe Wrap,489,18,25,48,7
FastFood Home Style Grill,273,20,1,46,3
FastFood Special Mutton Dish,338,24,10,38,1
FastFood Deluxe Rice Bowl,232,9,12,22,3
Chinese Crispy Grill,245,14,9,27,1
FastFood Deluxe Masala,436,17,20,47,7
Chinese Roasted Soup,317,9,17,32,7
Italian Cheese Salad,449,17,21,48,0
Italian Gravy Burger,277,16,1,51,2
Indian Saucy Salad,364,3,20,43,2
Italian Crispy Cutlet,366,20,6,58,4
Italian Cheese Fried Rice,451,22,19,48,8
Italian Classic Rice Bowl,126,3,2,24,0
Chinese Classic Uttapam,277,19,1,48,5
Indian Tandoori Rice Bowl,310,21,14,25,7
Italian Cheese Veg Mix,284,12,8,41,6
FastFood Dry Burger,401,3,17,59,7
Chinese Classic Paneer Dish,212,4,4,40,7
FastFood Classic Grill,389,9,17,50,1
FastFood Cheese Uttapam,314,19,6,46,2
FastFood Herb Soup,314,16,2,58,1
Italian Gravy Chicken Dish,341,14,5,60,3
Italian Classic Veg Mix,362,3,18,47,4
Chinese Cheese Kebab,382,20,14,44,8
FastFood Classic Rice Special,379,18,19,34,6
FastFood Dry Pizza,203,5,3,39,3
Chinese Spicy Uttapam,370,13,10,57,3
Chinese Butter Grill,299,5,7,54,8
Italian Home Style Grill,427,8,23,47,0
FastFood Saucy Tikka,236,16,8,25,3
Chinese Extra Cheese Grill,195,9,3,33,1
Italian Dry Rice Special,433,8,21,53,0
Italian Dry Biryani,435,9,19,57,1
Italian Roasted Paratha,361,5,25,29,4
Chinese Loaded Pasta,170,11,2,27,1
Indian Crispy Manchurian,511,25,19,60,4
Indian Loaded Masala,405,24,13,48,2
Indian Crispy Paratha,334,25,14,27,0
Indian Loaded Burger,403,25,23,24,0
Chinese Classic Masala,287,5,11,42,1
FastFood Garlic Burger,137,7,1,25,2
Italian Tandoori Burger,281,18,9,32,1
Italian Gravy Fries,268,12,4,46,1
FastFood Gravy Masala,191,17,3,24,5
FastFood Special Soup,473,24,17,56,8
FastFood Saucy Fries,213,10,1,41,7
Italian Home Style Paratha,317,15,17,26,6
FastFood Spicy Veg Mix,353,11,9,57,7
Chinese Street Style Chicken Dish,380,14,16,45,8
FastFood Classic Noodles,245,10,1,49,3
FastFood Classic Pasta,365,19,13,43,3
FastFood Roasted Fried Rice,327,11,7,55,2
FastFood Classic Stew,282,8,14,31,8
FastFood Special Paneer Dish,183,5,7,25,7
Italian Tandoori Biryani,228,19,4,29,3
Italian Spicy Stew,294,16,10,35,1
Indian Garlic Grill,256,9,12,28,0
FastFood Cheese Curry,229,5,9,32,0
Chinese Herb Veg Mix,159,9,3,24,8
Chinese Dry Pasta,360,13,12,50,7
Italian Cheese Curry,264,14,8,34,6
Indian Saucy Mutton Dish,250,9,6,40,3
Chinese Home Style Biryani,448,22,16,54,5
Indian Classic Biryani,301,13,1,60,6
Italian Gravy Veg Mix,437,10,21,52,2
FastFood Tandoori Uttapam,333,6,21,30,5
Chinese Classic Chicken Dish,292,11,16,26,7
Italian Masaledar Curry,306,17,6,46,0
Chinese Loaded Sandwich,170,5,6,24,3
Chinese Garlic Curry,247,14,11,23,4
